r_id,pais,ed,jc10,aoj11,q1,aoj12,b18,infrax,e16,aoj22,q3c,q5b,q10new_14,etid,vic1ext,vicbar7
5361,Honduras,4,0,Very Safe,Female,A lot,5,More than 1 hour and up to 3 hours,8,Increase punishment of criminal,Evangelical and Protestant,Very Important,3,Other,0,0
5362,Honduras,9,0,Very Unsafe,Female,Some,1,More than 1 hour and up to 3 hours,8,Both,Catholic,Very Important,10,Mestizo,0,0
5363,Honduras,0,0,Somewhat Safe,Female,None,3,[Don't Read] There are no police/they would not come,6,Increase punishment of criminal,Catholic,Very Important,2,Mestizo,0,0
5364,Honduras,6,0,Somewhat Unsafe,Female,A lot,4,[Don't Read] There are no police/they would not come,1,Implement preventative measures,Evangelical and Protestant,Very Important,NA,Mestizo,0,0
5365,Honduras,6,1,Very Safe,Male,A lot,2,[Don't Read] There are no police/they would not come,1,Increase punishment of criminal,Catholic,Very Important,8,Mestizo,0,0
5366,Honduras,12,0,Somewhat Safe,Male,None,3,More than 3 hours,7,Implement preventative measures,Catholic,Very Important,4,Indigenous,0,0
5367,Honduras,6,1,Somewhat Safe,Female,A lot,7,More than 1 hour and up to 3 hours,1,Increase punishment of criminal,Evangelical and Protestant,Very Important,2,Mestizo,0,1
5368,Honduras,0,0,Somewhat Safe,Female,Some,5,Less than 10 minutes,5,Implement preventative measures,Catholic,Very Important,9,Mestizo,0,0
5369,Honduras,0,1,Somewhat Safe,Female,Some,7,Less than 10 minutes,1,Increase punishment of criminal,Catholic,Very Important,1,White,0,0
5370,Honduras,5,1,Somewhat Safe,Female,A lot,4,Between 10 and 30 minutes,1,Increase punishment of criminal,Evangelical and Protestant,Very Important,1,Indigenous,0,0
5371,Honduras,6,1,Very Safe,Female,Some,6,More than 3 hours,9,Both,No Response,Not Very Important,2,White,0,1
5372,Honduras,10,0,Very Safe,Female,None,6,Don't Know,6,Increase punishment of criminal,Evangelical and Protestant,Very Important,NA,Mestizo,1,0
5373,Honduras,6,1,Somewhat Safe,Male,Little,1,[Don't Read] There are no police/they would not come,10,Increase punishment of criminal,Catholic,Very Important,8,Mestizo,0,0
5374,Honduras,6,1,Somewhat Safe,Male,None,6,More than 3 hours,4,Implement preventative measures,Catholic,Very Important,9,Other,0,0
5375,Honduras,7,1,Somewhat Safe,Female,Some,5,Between 10 and 30 minutes,5,Both,Catholic,Very Important,3,White,0,1
5376,Honduras,5,1,Somewhat Safe,Female,None,5,[Don't Read] There are no police/they would not come,5,Increase punishment of criminal,Catholic,Very Important,0,White,0,0
5377,Honduras,6,1,Very Safe,Male,Some,5,Between 10 and 30 minutes,6,Increase punishment of criminal,Evangelical and Protestant,Very Important,7,Mestizo,0,0
5378,Honduras,6,0,Somewhat Unsafe,Male,None,4,More than 30 minutes and up to an hour,9,Both,None (Believes in a Supreme Entity but does not belong to any religion),Not Very Important,3,Mestizo,0,0
5379,Honduras,8,1,Somewhat Safe,Male,Little,4,More than 3 hours,5,Increase punishment of criminal,Catholic,Very Important,15,Mestizo,1,1
5380,Honduras,3,1,Somewhat Unsafe,Female,Some,7,More than 1 hour and up to 3 hours,10,Both,Evangelical and Protestant,Very Important,3,Mestizo,0,1
5381,Honduras,6,0,Very Safe,Female,None,1,[Don't Read] There are no police/they would not come,1,Increase punishment of criminal,Catholic,Very Important,2,Mestizo,0,0
5382,Honduras,12,0,Somewhat Safe,Female,None,1,More than 1 hour and up to 3 hours,7,Increase punishment of criminal,Catholic,Somewhat Important,13,White,1,0
5383,Honduras,12,0,Very Safe,Female,None,1,More than 1 hour and up to 3 hours,1,Increase punishment of criminal,Catholic,Very Important,4,Mestizo,1,1
5384,Honduras,12,0,Very Safe,Female,None,1,Between 10 and 30 minutes,1,Increase punishment of criminal,"Protestant, Mainline Protestant or Protestant non-Evangelical",Very Important,4,Mestizo,0,0
5385,Honduras,6,0,Very Safe,Female,A lot,7,Between 10 and 30 minutes,1,Implement preventative measures,Catholic,Very Important,2,Mestizo,0,0
5386,Honduras,6,0,Somewhat Safe,Male,None,4,More than 3 hours,5,Increase punishment of criminal,"Protestant, Mainline Protestant or Protestant non-Evangelical",Very Important,10,Mestizo,0,0
5387,Honduras,8,1,Somewhat Safe,Female,Some,4,Between 10 and 30 minutes,1,Implement preventative measures,Evangelical and Protestant,Very Important,10,Mestizo,0,1
5388,Honduras,12,1,Somewhat Safe,Male,Some,2,More than 3 hours,10,Implement preventative measures,"Protestant, Mainline Protestant or Protestant non-Evangelical",Very Important,8,White,1,1
5389,Honduras,7,0,Somewhat Safe,Male,Little,5,More than 1 hour and up to 3 hours,7,Increase punishment of criminal,Catholic,Very Important,2,Mestizo,1,1
5390,Honduras,6,0,Somewhat Safe,Female,Some,4,More than 1 hour and up to 3 hours,3,Increase punishment of criminal,Catholic,Somewhat Important,NA,White,0,0
5391,Honduras,12,0,Somewhat Unsafe,Female,A lot,4,Less than 10 minutes,8,Implement preventative measures,Catholic,Very Important,8,White,0,0
5392,Honduras,12,1,Very Safe,Female,None,2,[Don't Read] There are no police/they would not come,3,Don't Know,Evangelical and Protestant,Not Important at All,1,Mestizo,0,0
5393,Honduras,6,0,Very Safe,Female,Little,6,More than 1 hour and up to 3 hours,1,Increase punishment of criminal,Catholic,Very Important,11,Mestizo,0,0
5394,Honduras,3,0,Somewhat Unsafe,Male,Little,4,More than 30 minutes and up to an hour,4,Implement preventative measures,Evangelical and Protestant,Somewhat Important,2,Mulatto,0,0
5395,Honduras,6,0,Somewhat Safe,Male,Some,5,Between 10 and 30 minutes,5,Implement preventative measures,None (Believes in a Supreme Entity but does not belong to any religion),Not Very Important,4,Mestizo,0,0
5396,Honduras,6,0,Very Unsafe,Female,None,4,More than 30 minutes and up to an hour,1,Increase punishment of criminal,Evangelical and Protestant,Very Important,7,Mestizo,1,1
5397,Honduras,5,0,Somewhat Safe,Female,Some,4,[Don't Read] There are no police/they would not come,6,Increase punishment of criminal,Catholic,Very Important,10,White,1,1
5398,Honduras,6,0,Very Unsafe,Female,Some,5,[Don't Read] There are no police/they would not come,1,Increase punishment of criminal,Catholic,Very Important,10,White,0,0
5399,Honduras,5,0,Somewhat Safe,Female,None,5,More than 1 hour and up to 3 hours,4,Implement preventative measures,None (Believes in a Supreme Entity but does not belong to any religion),Very Important,NA,Mestizo,0,0
5400,Honduras,12,0,Very Safe,Male,None,6,Between 10 and 30 minutes,3,Don't Know,Catholic,Very Important,2,Mestizo,0,0
5401,Honduras,0,NA,Somewhat Unsafe,Male,Little,4,More than 30 minutes and up to an hour,4,Both,Catholic,Very Important,0,Mestizo,0,0
5402,Honduras,6,0,Somewhat Unsafe,Male,Some,2,[Don't Read] There are no police/they would not come,1,Both,Evangelical and Protestant,Very Important,5,Other,0,1
5403,Honduras,11,0,Very Safe,Male,None,1,[Don't Read] There are no police/they would not come,10,Implement preventative measures,None (Believes in a Supreme Entity but does not belong to any religion),Very Important,15,Mestizo,0,0
5404,Honduras,0,1,Very Unsafe,Female,A lot,2,More than 1 hour and up to 3 hours,10,Increase punishment of criminal,Evangelical and Protestant,Very Important,6,Black,0,0
5405,Honduras,9,NA,Somewhat Safe,Female,Some,6,Less than 10 minutes,5,Increase punishment of criminal,Evangelical and Protestant,Very Important,4,Mestizo,0,0
5406,Honduras,6,0,Somewhat Safe,Female,Some,4,More than 1 hour and up to 3 hours,1,Increase punishment of criminal,Catholic,Very Important,3,Mestizo,0,0
5407,Honduras,5,0,Somewhat Unsafe,Female,Some,7,Between 10 and 30 minutes,2,Increase punishment of criminal,"Protestant, Mainline Protestant or Protestant non-Evangelical",Very Important,2,White,0,1
5408,Honduras,6,NA,Somewhat Safe,Female,Some,3,More than 3 hours,1,Implement preventative measures,Catholic,Very Important,1,White,1,1
5409,Honduras,10,0,Somewhat Safe,Female,A lot,3,More than 30 minutes and up to an hour,6,Implement preventative measures,None (Believes in a Supreme Entity but does not belong to any religion),Somewhat Important,11,Mestizo,0,0
5410,Honduras,6,0,Very Safe,Male,None,1,Between 10 and 30 minutes,10,Increase punishment of criminal,Evangelical and Protestant,Very Important,7,Mestizo,0,0
5411,Honduras,1,0,Somewhat Safe,Female,A lot,5,More than 30 minutes and up to an hour,9,Both,Catholic,Very Important,1,Mestizo,0,0
5412,Honduras,12,NA,Very Safe,Male,None,4,[Don't Read] There are no police/they would not come,1,Implement preventative measures,"Protestant, Mainline Protestant or Protestant non-Evangelical",Very Important,10,Mestizo,0,1
5413,Honduras,1,1,Very Unsafe,Male,None,6,More than 3 hours,5,Increase punishment of criminal,Evangelical and Protestant,Very Important,2,Mestizo,0,0
5414,Honduras,4,1,Very Unsafe,Female,None,7,More than 3 hours,9,Implement preventative measures,None (Believes in a Supreme Entity but does not belong to any religion),Not Very Important,8,Mestizo,0,0
5415,Honduras,2,0,Very Safe,Male,A lot,5,Between 10 and 30 minutes,3,Increase punishment of criminal,None (Believes in a Supreme Entity but does not belong to any religion),Very Important,1,Mestizo,0,0
5416,Honduras,9,0,Somewhat Unsafe,Male,None,6,More than 1 hour and up to 3 hours,8,Both,"Protestant, Mainline Protestant or Protestant non-Evangelical",Not Very Important,3,White,0,0
5417,Honduras,0,NA,Somewhat Unsafe,Male,None,4,Between 10 and 30 minutes,5,Increase punishment of criminal,Catholic,Very Important,3,Mestizo,0,0
5418,Honduras,2,NA,Somewhat Unsafe,Male,None,5,Between 10 and 30 minutes,NA,Increase punishment of criminal,None (Believes in a Supreme Entity but does not belong to any religion),Very Important,3,Mestizo,0,0
5419,Honduras,5,1,Very Safe,Male,Some,4,Between 10 and 30 minutes,1,Increase punishment of criminal,Evangelical and Protestant,Somewhat Important,5,Mulatto,0,0
5420,Honduras,12,0,Somewhat Unsafe,Male,None,4,[Don't Read] There are no police/they would not come,10,Both,Catholic,Very Important,12,Mestizo,0,0
5421,Honduras,6,0,Somewhat Safe,Female,Little,4,Between 10 and 30 minutes,4,Both,Catholic,Very Important,1,Mestizo,0,0
5422,Honduras,2,0,Somewhat Unsafe,Female,A lot,3,Between 10 and 30 minutes,5,Increase punishment of criminal,Evangelical and Protestant,Very Important,2,Mestizo,0,0
5423,Honduras,6,0,Somewhat Unsafe,Male,Little,5,Between 10 and 30 minutes,6,Both,Catholic,Somewhat Important,3,Mestizo,0,0
5424,Honduras,12,1,Somewhat Unsafe,Female,None,2,[Don't Read] There are no police/they would not come,5,Increase punishment of criminal,Catholic,Very Important,9,White,0,1
5425,Honduras,4,0,Very Safe,Male,None,1,More than 30 minutes and up to an hour,2,Implement preventative measures,Evangelical and Protestant,Very Important,6,White,0,0
5426,Honduras,6,0,Somewhat Unsafe,Male,Little,5,More than 1 hour and up to 3 hours,6,Increase punishment of criminal,None (Believes in a Supreme Entity but does not belong to any religion),Not Very Important,4,Black,0,0
5427,Honduras,2,1,Somewhat Safe,Female,Some,5,Between 10 and 30 minutes,1,Both,Catholic,Somewhat Important,1,Mestizo,0,0
5428,Honduras,3,1,Somewhat Safe,Female,Some,5,More than 3 hours,1,Implement preventative measures,Evangelical and Protestant,Very Important,4,Mulatto,0,1
5429,Honduras,9,1,Somewhat Safe,Female,Some,3,[Don't Read] There are no police/they would not come,6,Increase punishment of criminal,Catholic,Somewhat Important,2,Mestizo,0,1
5430,Honduras,8,1,Somewhat Safe,Male,None,7,More than 3 hours,2,Increase punishment of criminal,Evangelical and Protestant,Very Important,3,White,0,0
5431,Honduras,0,0,Somewhat Unsafe,Male,Little,5,[Don't Read] There are no police/they would not come,10,Increase punishment of criminal,Catholic,Very Important,11,Mestizo,0,1
5432,Honduras,13,0,Very Safe,Male,None,1,More than 3 hours,1,Implement preventative measures,Catholic,Very Important,10,Mestizo,1,0
5433,Honduras,13,0,Somewhat Safe,Female,Some,2,More than 30 minutes and up to an hour,7,Implement preventative measures,Catholic,Very Important,13,Mestizo,0,0
5434,Honduras,10,0,Somewhat Unsafe,Male,Little,3,More than 3 hours,5,Increase punishment of criminal,Church of Latter Day Saints (Mormon),Very Important,14,White,1,1
5435,Honduras,0,0,Somewhat Unsafe,Female,Little,6,More than 30 minutes and up to an hour,3,Don't Know,Catholic,Very Important,0,Mestizo,0,0
5436,Honduras,3,0,Somewhat Unsafe,Male,None,7,Between 10 and 30 minutes,1,Increase punishment of criminal,Catholic,Very Important,15,Mestizo,1,0
5437,Honduras,5,0,Somewhat Unsafe,Male,None,6,Between 10 and 30 minutes,7,Increase punishment of criminal,Evangelical and Protestant,Very Important,10,Mestizo,0,0
5438,Honduras,6,0,Somewhat Safe,Female,None,5,More than 30 minutes and up to an hour,1,Increase punishment of criminal,None (Believes in a Supreme Entity but does not belong to any religion),Somewhat Important,8,Mestizo,0,0
5439,Honduras,12,0,Very Safe,Female,None,1,More than 30 minutes and up to an hour,1,Implement preventative measures,"Protestant, Mainline Protestant or Protestant non-Evangelical",Very Important,9,White,0,1
5440,Honduras,10,0,Somewhat Safe,Female,Little,1,[Don't Read] There are no police/they would not come,1,Implement preventative measures,None (Believes in a Supreme Entity but does not belong to any religion),Somewhat Important,1,Mestizo,0,0
5441,Honduras,6,1,Very Safe,Male,Little,4,More than 3 hours,3,Increase punishment of criminal,Evangelical and Protestant,Somewhat Important,14,White,0,1
5442,Honduras,3,0,Very Safe,Female,Little,4,[Don't Read] There are no police/they would not come,1,Increase punishment of criminal,Evangelical and Protestant,Very Important,4,White,0,0
5443,Honduras,3,0,Very Safe,Female,Little,5,More than 3 hours,1,Increase punishment of criminal,Evangelical and Protestant,Very Important,NA,Mestizo,0,0
5444,Honduras,8,0,Somewhat Unsafe,Male,Some,3,More than 3 hours,10,Increase punishment of criminal,Evangelical and Protestant,Very Important,10,Other,0,0
5445,Honduras,6,0,Very Safe,Female,None,6,Between 10 and 30 minutes,10,Implement preventative measures,"Protestant, Mainline Protestant or Protestant non-Evangelical",Very Important,5,Mestizo,0,0
5446,Honduras,3,0,Very Safe,Male,A lot,3,More than 30 minutes and up to an hour,10,Increase punishment of criminal,Catholic,Very Important,3,Indigenous,0,0
5447,Honduras,12,0,Somewhat Unsafe,Female,Little,5,More than 30 minutes and up to an hour,3,Increase punishment of criminal,None (Believes in a Supreme Entity but does not belong to any religion),Very Important,2,Mestizo,0,0
5448,Honduras,6,0,Somewhat Safe,Female,Little,3,Less than 10 minutes,3,Increase punishment of criminal,Catholic,Very Important,2,Mestizo,0,1
5449,Honduras,6,0,Somewhat Unsafe,Male,Little,4,More than 30 minutes and up to an hour,5,Increase punishment of criminal,Non-Christian Eastern Religion,Not Very Important,2,White,0,0
5450,Honduras,0,0,Very Safe,Female,Some,6,[Don't Read] There are no police/they would not come,4,Increase punishment of criminal,Evangelical and Protestant,Very Important,2,Mestizo,0,0
5451,Honduras,NA,0,Very Safe,Female,A lot,7,More than 30 minutes and up to an hour,9,Increase punishment of criminal,Evangelical and Protestant,Very Important,NA,Other,0,0
5452,Honduras,0,0,Very Safe,Male,None,1,Between 10 and 30 minutes,10,Increase punishment of criminal,Evangelical and Protestant,Somewhat Important,7,Mestizo,0,0
5453,Honduras,12,0,Very Safe,Male,None,4,More than 3 hours,3,Increase punishment of criminal,Catholic,Not Very Important,4,Mestizo,0,0
5454,Honduras,6,1,Very Safe,Female,None,1,[Don't Read] There are no police/they would not come,1,Increase punishment of criminal,"Protestant, Mainline Protestant or Protestant non-Evangelical",Somewhat Important,10,Mestizo,0,0
5455,Honduras,6,0,Somewhat Unsafe,Female,None,4,More than 3 hours,3,Increase punishment of criminal,Evangelical and Protestant,Somewhat Important,8,Mestizo,1,0
5456,Honduras,3,NA,Very Safe,Female,None,6,More than 30 minutes and up to an hour,1,Increase punishment of criminal,Evangelical and Protestant,Very Important,0,Indigenous,0,0
5457,Honduras,2,1,Very Unsafe,Male,Little,5,More than 30 minutes and up to an hour,2,Increase punishment of criminal,Catholic,Somewhat Important,NA,White,0,1
5458,Honduras,8,1,Very Safe,Male,None,5,Between 10 and 30 minutes,1,Implement preventative measures,Catholic,Very Important,6,Mestizo,0,1
5459,Honduras,5,1,Somewhat Safe,Male,Little,4,More than 30 minutes and up to an hour,10,Increase punishment of criminal,Catholic,Very Important,3,Mestizo,0,1
5460,Honduras,6,1,Very Unsafe,Female,None,5,[Don't Read] There are no police/they would not come,3,Increase punishment of criminal,Evangelical and Protestant,Very Important,NA,White,0,0
5461,Honduras,18,0,Very Safe,Male,None,2,Less than 10 minutes,5,Implement preventative measures,Evangelical and Protestant,Very Important,NA,Indigenous,0,0
5462,Honduras,5,0,Somewhat Safe,Male,A lot,4,Between 10 and 30 minutes,10,Implement preventative measures,Catholic,Very Important,1,White,0,0
5463,Honduras,6,1,Somewhat Unsafe,Female,Little,5,[Don't Read] There are no police/they would not come,1,Increase punishment of criminal,Catholic,Very Important,1,Mestizo,0,0
5464,Honduras,6,0,Somewhat Unsafe,Male,Little,1,More than 30 minutes and up to an hour,1,Don't Know,Catholic,Not Important at All,1,Mestizo,1,0
5465,Honduras,5,0,Somewhat Safe,Male,Some,5,Less than 10 minutes,1,Implement preventative measures,None (Believes in a Supreme Entity but does not belong to any religion),Somewhat Important,4,Mestizo,0,1
5466,Honduras,9,0,Somewhat Unsafe,Male,None,1,More than 1 hour and up to 3 hours,1,Increase punishment of criminal,Catholic,Very Important,0,Mestizo,1,0
5467,Honduras,9,1,Somewhat Safe,Male,A lot,5,More than 3 hours,10,Implement preventative measures,Catholic,Very Important,8,Mestizo,1,1
5468,Honduras,6,0,Somewhat Safe,Female,A lot,6,Between 10 and 30 minutes,5,Increase punishment of criminal,Evangelical and Protestant,Very Important,4,Mestizo,0,1
5469,Honduras,18,0,Somewhat Safe,Female,Some,5,Between 10 and 30 minutes,1,Both,Catholic,Very Important,NA,Mulatto,1,0
5470,Honduras,0,NA,Very Safe,Male,Some,7,Between 10 and 30 minutes,1,Increase punishment of criminal,Catholic,Somewhat Important,1,Indigenous,0,0
5471,Honduras,12,0,Somewhat Safe,Male,Little,3,More than 1 hour and up to 3 hours,10,Increase punishment of criminal,Catholic,Somewhat Important,12,Mestizo,0,0
5472,Honduras,17,0,Somewhat Unsafe,Female,Little,5,More than 30 minutes and up to an hour,3,Increase punishment of criminal,Catholic,Very Important,2,White,0,0
5473,Honduras,12,0,Very Safe,Male,None,3,More than 30 minutes and up to an hour,2,Implement preventative measures,Evangelical and Protestant,Very Important,15,Mestizo,0,1
5474,Honduras,11,0,Somewhat Unsafe,Male,A lot,7,Between 10 and 30 minutes,1,Implement preventative measures,Evangelical and Protestant,Very Important,9,Mestizo,0,0
5475,Honduras,12,1,Somewhat Unsafe,Female,None,5,Between 10 and 30 minutes,6,Increase punishment of criminal,Jehovah's Witness,Somewhat Important,3,White,1,1
5476,Honduras,12,0,Very Unsafe,Female,A lot,2,More than 1 hour and up to 3 hours,10,Increase punishment of criminal,None (Believes in a Supreme Entity but does not belong to any religion),Somewhat Important,5,Mestizo,0,0
5477,Honduras,9,1,Somewhat Unsafe,Male,Little,1,More than 30 minutes and up to an hour,10,Increase punishment of criminal,Don't Know,Very Important,8,Mestizo,0,0
5478,Honduras,6,0,Somewhat Unsafe,Female,Little,6,[Don't Read] There are no police/they would not come,10,Increase punishment of criminal,"Protestant, Mainline Protestant or Protestant non-Evangelical",Very Important,4,Mestizo,0,0
5479,Honduras,6,0,Very Unsafe,Male,None,4,Between 10 and 30 minutes,1,Implement preventative measures,Evangelical and Protestant,Very Important,7,Mestizo,1,0
5480,Honduras,6,1,Very Unsafe,Female,None,3,[Don't Read] There are no police/they would not come,5,Implement preventative measures,Evangelical and Protestant,Very Important,6,Mestizo,1,1
5481,Honduras,12,0,Somewhat Safe,Female,Some,6,More than 30 minutes and up to an hour,7,Both,Evangelical and Protestant,Very Important,9,Mestizo,0,0
5482,Honduras,16,NA,Somewhat Safe,Male,None,4,[Don't Read] There are no police/they would not come,7,Implement preventative measures,"Protestant, Mainline Protestant or Protestant non-Evangelical",Very Important,9,White,0,1
5483,Honduras,0,0,Very Safe,Male,A lot,1,Less than 10 minutes,1,Increase punishment of criminal,Catholic,Very Important,3,Mestizo,0,0
5484,Honduras,18,0,Very Safe,Male,None,3,Between 10 and 30 minutes,1,Implement preventative measures,Catholic,Somewhat Important,11,Mestizo,1,0
5485,Honduras,6,0,Somewhat Safe,Male,Some,4,More than 3 hours,5,Implement preventative measures,None (Believes in a Supreme Entity but does not belong to any religion),Not Very Important,4,Mestizo,0,0
5486,Honduras,6,0,Somewhat Safe,Female,Some,3,Between 10 and 30 minutes,1,Increase punishment of criminal,Evangelical and Protestant,Somewhat Important,15,Mestizo,0,0
5487,Honduras,9,0,Somewhat Safe,Female,None,7,More than 1 hour and up to 3 hours,1,Increase punishment of criminal,Evangelical and Protestant,Very Important,12,Mestizo,0,0
5488,Honduras,12,1,Somewhat Unsafe,Male,A lot,5,Between 10 and 30 minutes,5,Implement preventative measures,Catholic,Very Important,3,Mestizo,1,1
5489,Honduras,9,0,Somewhat Safe,Female,Some,7,More than 30 minutes and up to an hour,10,Increase punishment of criminal,"Protestant, Mainline Protestant or Protestant non-Evangelical",Very Important,4,Mulatto,1,NA
5490,Honduras,6,1,Very Safe,Male,Little,5,Between 10 and 30 minutes,9,Increase punishment of criminal,Catholic,Very Important,1,Mestizo,0,0
5491,Honduras,4,1,Very Safe,Female,None,7,More than 1 hour and up to 3 hours,1,Increase punishment of criminal,Evangelical and Protestant,Very Important,0,White,0,0
5492,Honduras,6,0,Somewhat Safe,Female,Some,6,More than 1 hour and up to 3 hours,10,Increase punishment of criminal,Evangelical and Protestant,Somewhat Important,11,Mestizo,0,0
5493,Honduras,12,0,Somewhat Unsafe,Female,Little,4,[Don't Read] There are no police/they would not come,10,Increase punishment of criminal,Catholic,Very Important,14,White,0,1
5494,Honduras,11,0,Very Safe,Male,Some,5,Between 10 and 30 minutes,10,Increase punishment of criminal,"Protestant, Mainline Protestant or Protestant non-Evangelical",Very Important,10,Mestizo,0,0
5495,Honduras,12,0,Very Safe,Male,Some,4,Between 10 and 30 minutes,1,Both,Evangelical and Protestant,Somewhat Important,11,Mestizo,0,NA
5496,Honduras,6,1,Very Safe,Female,Some,6,Between 10 and 30 minutes,1,Increase punishment of criminal,Catholic,Very Important,1,White,0,0
5497,Honduras,4,1,Very Safe,Female,Little,5,More than 1 hour and up to 3 hours,1,Increase punishment of criminal,Catholic,Very Important,14,White,0,0
5498,Honduras,3,1,Somewhat Safe,Male,Some,2,[Don't Read] There are no police/they would not come,1,Increase punishment of criminal,Evangelical and Protestant,Very Important,8,White,0,0
5499,Honduras,6,0,Somewhat Safe,Female,None,2,Between 10 and 30 minutes,10,Increase punishment of criminal,Jehovah's Witness,Not Important at All,5,Mestizo,1,0
5500,Honduras,9,0,Somewhat Safe,Male,Little,2,Between 10 and 30 minutes,3,Implement preventative measures,Catholic,Very Important,15,Mestizo,1,0
5501,Honduras,9,0,Somewhat Safe,Female,None,NA,[Don't Read] There are no police/they would not come,2,Implement preventative measures,Catholic,Very Important,3,Mestizo,0,1
5502,Honduras,15,1,Somewhat Safe,Male,None,4,More than 1 hour and up to 3 hours,10,Both,Catholic,Somewhat Important,7,Mestizo,1,1
5503,Honduras,9,1,Very Safe,Male,Some,2,[Don't Read] There are no police/they would not come,10,Increase punishment of criminal,Evangelical and Protestant,Somewhat Important,7,Mulatto,1,0
5504,Honduras,6,NA,Very Safe,Female,None,5,More than 1 hour and up to 3 hours,1,Implement preventative measures,"Protestant, Mainline Protestant or Protestant non-Evangelical",Very Important,8,Mestizo,0,NA
5505,Honduras,3,NA,Very Safe,Male,A lot,4,Don't Know,1,Implement preventative measures,Evangelical and Protestant,Very Important,NA,Mestizo,0,0
5506,Honduras,3,0,Very Safe,Female,None,7,Between 10 and 30 minutes,1,No Response,None (Believes in a Supreme Entity but does not belong to any religion),Somewhat Important,2,Mestizo,0,0
5507,Honduras,0,0,Somewhat Safe,Female,None,4,Between 10 and 30 minutes,5,Implement preventative measures,"Protestant, Mainline Protestant or Protestant non-Evangelical",Not Very Important,1,Mestizo,0,0
5508,Honduras,12,1,Very Unsafe,Female,A lot,3,More than 3 hours,5,Both,Catholic,Very Important,7,Mestizo,0,1
5509,Honduras,8,0,Very Safe,Female,Some,7,More than 1 hour and up to 3 hours,1,Implement preventative measures,Catholic,Very Important,1,Mestizo,0,0
5510,Honduras,10,1,Somewhat Safe,Male,Little,4,More than 30 minutes and up to an hour,9,Implement preventative measures,Catholic,Very Important,NA,Mestizo,0,0
5511,Honduras,4,0,Somewhat Unsafe,Male,Some,1,Between 10 and 30 minutes,4,Increase punishment of criminal,Catholic,Very Important,NA,Indigenous,0,0
5512,Honduras,12,0,Somewhat Unsafe,Male,A lot,2,Between 10 and 30 minutes,10,Implement preventative measures,Catholic,Very Important,11,Mestizo,0,0
5513,Honduras,6,0,Somewhat Safe,Female,Little,5,[Don't Read] There are no police/they would not come,1,Increase punishment of criminal,Evangelical and Protestant,Very Important,2,Mestizo,0,1
5514,Honduras,3,0,Somewhat Safe,Male,Some,6,[Don't Read] There are no police/they would not come,5,Increase punishment of criminal,Catholic,Very Important,3,Mestizo,0,0
5515,Honduras,4,0,Very Unsafe,Male,Little,1,More than 3 hours,1,Increase punishment of criminal,Evangelical and Protestant,Very Important,5,White,1,0
5516,Honduras,3,0,Somewhat Safe,Female,Some,1,More than 1 hour and up to 3 hours,8,Increase punishment of criminal,Evangelical and Protestant,Very Important,1,Mestizo,0,0
5517,Honduras,12,0,Somewhat Unsafe,Male,Little,4,More than 30 minutes and up to an hour,1,Both,Catholic,Somewhat Important,5,Black,0,1
5518,Honduras,6,1,Very Safe,Male,None,1,[Don't Read] There are no police/they would not come,10,Increase punishment of criminal,Catholic,Very Important,12,Mestizo,1,0
5519,Honduras,9,0,Somewhat Unsafe,Female,None,3,More than 3 hours,8,Increase punishment of criminal,Catholic,Very Important,1,Mestizo,1,1
5520,Honduras,12,0,Somewhat Unsafe,Male,Little,1,More than 30 minutes and up to an hour,4,Increase punishment of criminal,Catholic,Very Important,15,Mestizo,0,1
5521,Honduras,6,0,Somewhat Safe,Female,A lot,1,[Don't Read] There are no police/they would not come,5,Both,Catholic,Very Important,11,Indigenous,0,0
5522,Honduras,10,0,Somewhat Safe,Male,None,1,More than 30 minutes and up to an hour,1,Implement preventative measures,None (Believes in a Supreme Entity but does not belong to any religion),Somewhat Important,10,Mestizo,0,0
5523,Honduras,11,0,Somewhat Safe,Male,Little,7,Less than 10 minutes,4,Both,Catholic,Somewhat Important,3,Mestizo,0,0
5524,Honduras,15,1,Very Safe,Male,Little,1,More than 1 hour and up to 3 hours,10,Increase punishment of criminal,Catholic,Very Important,15,Mestizo,0,0
5525,Honduras,2,0,Somewhat Safe,Female,A lot,4,More than 30 minutes and up to an hour,1,Both,None (Believes in a Supreme Entity but does not belong to any religion),Very Important,1,Mestizo,1,1
5526,Honduras,6,0,Don't Know,Female,Little,4,More than 3 hours,1,Increase punishment of criminal,Evangelical and Protestant,Very Important,NA,White,0,0
5527,Honduras,12,0,Very Unsafe,Male,None,5,More than 1 hour and up to 3 hours,10,Increase punishment of criminal,Catholic,Very Important,8,Mestizo,1,1
5528,Honduras,16,0,Somewhat Safe,Male,Little,5,More than 30 minutes and up to an hour,6,Increase punishment of criminal,"Protestant, Mainline Protestant or Protestant non-Evangelical",Somewhat Important,15,Mestizo,0,0
5529,Honduras,0,1,Very Unsafe,Female,None,7,More than 1 hour and up to 3 hours,1,Increase punishment of criminal,Evangelical and Protestant,Very Important,5,Mestizo,0,1
5530,Honduras,17,0,Somewhat Safe,Female,None,1,More than 3 hours,8,Implement preventative measures,Catholic,Very Important,16,Mestizo,1,1
5531,Honduras,0,NA,Somewhat Safe,Male,A lot,1,More than 1 hour and up to 3 hours,1,Increase punishment of criminal,None (Believes in a Supreme Entity but does not belong to any religion),Somewhat Important,4,Mestizo,0,0
