r_id,pais,ur,q2,q1,clien1,ed,tamano,cp5,cp8,cp9,cp13,q10
1352,Mexico,Urban,25,Male,Nunca,10,Medium City,3,4,4,4,9
1353,Mexico,Urban,57,Female,Nunca,9,Large City,4,4,4,4,NA
1354,Mexico,Urban,34,Female,Nunca,9,Medium City,3,4,4,3,2
1355,Mexico,Urban,25,Female,Nunca,6,Small City,4,2,4,2,3
1356,Mexico,Rural,41,Female,Nunca,9,Rural Area,4,3,4,4,2
1357,Mexico,Urban,41,Male,Nunca,4,Medium City,4,4,4,4,3
1358,Mexico,Rural,44,Male,Nunca,9,Rural Area,4,4,4,4,6
1359,Mexico,Urban,40,Female,Nunca,12,Small City,4,4,4,4,3
1360,Mexico,Urban,41,Female,Nunca,9,Small City,NA,4,4,4,NA
1361,Mexico,Rural,40,Male,Nunca,6,Rural Area,4,4,4,4,3
1362,Mexico,Urban,56,Male,Frecuentemente,9,Small City,3,3,4,4,5
1363,Mexico,Urban,35,Male,Nunca,9,Large City,2,4,4,4,5
1364,Mexico,Rural,54,Female,Nunca,6,Rural Area,4,4,4,4,2
1365,Mexico,Urban,55,Male,Rara vez,14,Small City,3,3,3,3,10
1366,Mexico,Urban,34,Male,Nunca,9,Medium City,1,4,4,4,7
1367,Mexico,Rural,24,Male,Nunca,12,Rural Area,2,4,2,4,4
1368,Mexico,Urban,20,Female,Nunca,14,Small City,4,4,4,4,3
1369,Mexico,Rural,43,Female,Nunca,6,Rural Area,4,3,4,4,1
1370,Mexico,Rural,68,Male,Nunca,3,Rural Area,4,2,4,4,0
1371,Mexico,Urban,27,Female,Frecuentemente,8,National Capital (Metropolitan area),4,4,4,4,5
1372,Mexico,Urban,32,Male,Nunca,16,Small City,3,4,4,4,6
1373,Mexico,Urban,32,Male,Nunca,9,Large City,4,3,4,4,2
1374,Mexico,Urban,32,Female,Frecuentemente,7,National Capital (Metropolitan area),3,4,4,3,3
1375,Mexico,Urban,58,Male,Nunca,6,National Capital (Metropolitan area),4,4,4,4,7
1376,Mexico,Urban,28,Female,Nunca,17,National Capital (Metropolitan area),4,4,4,4,4
1377,Mexico,Urban,23,Female,Nunca,15,National Capital (Metropolitan area),4,4,4,4,NA
1378,Mexico,Urban,38,Male,Nunca,8,Large City,4,4,3,3,0
1379,Mexico,Urban,32,Male,Rara vez,8,Small City,3,3,4,4,5
1380,Mexico,Urban,20,Male,Nunca,12,Small City,4,4,4,4,5
1381,Mexico,Urban,37,Male,Nunca,11,Medium City,3,3,4,2,6
1382,Mexico,Urban,38,Female,Nunca,12,Small City,2,4,4,4,8
1383,Mexico,Rural,33,Male,Nunca,10,Large City,3,3,3,3,8
1384,Mexico,Urban,66,Male,Nunca,2,Small City,4,3,4,4,5
1385,Mexico,Rural,53,Male,Nunca,12,Large City,3,4,4,4,6
1386,Mexico,Urban,28,Male,Nunca,12,National Capital (Metropolitan area),4,4,4,4,2
1387,Mexico,Urban,30,Male,Nunca,9,Small City,4,4,4,4,4
1388,Mexico,Urban,30,Female,Rara vez,12,National Capital (Metropolitan area),4,4,4,4,5
1389,Mexico,Urban,28,Female,Nunca,12,Small City,3,4,4,1,2
1390,Mexico,Urban,36,Male,Nunca,8,Medium City,4,4,4,4,3
1391,Mexico,Urban,49,Female,Nunca,11,National Capital (Metropolitan area),3,3,4,4,2
1392,Mexico,Urban,35,Female,Nunca,12,Small City,4,4,4,4,4
1393,Mexico,Urban,60,Male,Nunca,6,Large City,4,4,4,4,3
1394,Mexico,Urban,48,Male,Nunca,17,Large City,4,4,4,4,7
1395,Mexico,Urban,45,Male,Nunca,12,Small City,3,3,4,4,NA
1396,Mexico,Urban,82,Female,Nunca,3,Medium City,4,4,4,4,4
1397,Mexico,Urban,31,Female,Nunca,12,Small City,2,4,4,2,3
1398,Mexico,Urban,40,Male,Nunca,9,Small City,4,3,4,4,2
1399,Mexico,Urban,58,Female,Nunca,1,Medium City,3,4,4,3,NA
1400,Mexico,Urban,23,Male,Nunca,12,Large City,4,4,4,4,0
1401,Mexico,Urban,51,Male,Rara vez,6,Small City,2,3,3,4,NA
1402,Mexico,Urban,44,Male,Nunca,0,Large City,4,4,4,4,0
1403,Mexico,Urban,42,Female,Nunca,9,Large City,2,3,4,4,5
1404,Mexico,Urban,45,Male,Nunca,12,Large City,3,2,2,4,3
1405,Mexico,Urban,32,Male,Nunca,9,Large City,4,4,4,4,3
1406,Mexico,Rural,53,Male,Frecuentemente,6,Rural Area,4,4,4,4,5
1407,Mexico,Rural,30,Male,Frecuentemente,11,Large City,3,3,4,3,2
1408,Mexico,Urban,30,Male,Rara vez,11,Small City,4,4,4,3,6
1409,Mexico,Urban,18,Male,Nunca,12,National Capital (Metropolitan area),2,1,2,2,9
1410,Mexico,Urban,30,Female,Nunca,9,National Capital (Metropolitan area),3,3,4,4,5
1411,Mexico,Rural,22,Female,Rara vez,16,Rural Area,4,4,4,3,3
1412,Mexico,Urban,29,Male,Nunca,9,Small City,4,4,4,4,7
1413,Mexico,Rural,42,Male,Rara vez,12,Rural Area,4,4,4,4,8
1414,Mexico,Urban,38,Male,Nunca,9,Large City,4,4,4,4,4
1415,Mexico,Urban,20,Male,Nunca,9,Small City,4,4,4,4,3
1416,Mexico,Urban,25,Male,Rara vez,8,Small City,4,4,4,3,NA
1417,Mexico,Rural,23,Female,Rara vez,12,Medium City,4,4,4,3,2
1418,Mexico,Urban,67,Female,Nunca,0,National Capital (Metropolitan area),4,4,2,4,2
1419,Mexico,Urban,24,Male,Frecuentemente,9,National Capital (Metropolitan area),4,4,4,4,5
1420,Mexico,Urban,35,Male,Nunca,15,Small City,4,4,4,4,NA
1421,Mexico,Urban,26,Female,Nunca,3,Large City,4,4,4,4,4
1422,Mexico,Rural,64,Female,Nunca,5,Rural Area,4,3,4,3,NA
1423,Mexico,Urban,23,Female,Nunca,12,Large City,4,4,4,4,1
1424,Mexico,Urban,31,Female,Nunca,17,Large City,4,4,3,4,NA
1425,Mexico,Urban,20,Male,Nunca,12,Small City,4,4,4,4,7
1426,Mexico,Urban,27,Female,Nunca,17,Small City,4,4,4,4,6
1427,Mexico,Urban,77,Male,Nunca,0,Medium City,4,4,4,4,2
1428,Mexico,Urban,33,Female,Nunca,6,Large City,4,4,4,2,3
1429,Mexico,Rural,32,Male,Nunca,9,Rural Area,4,3,4,4,3
1430,Mexico,Urban,60,Male,Nunca,6,Medium City,4,4,4,4,NA
1431,Mexico,Rural,22,Male,Nunca,12,Rural Area,2,4,2,4,6
1432,Mexico,Rural,53,Male,Nunca,6,Rural Area,4,4,4,3,8
1433,Mexico,Rural,63,Male,Nunca,2,Large City,2,2,4,2,2
1434,Mexico,Urban,46,Male,Nunca,16,Small City,3,4,4,3,7
1435,Mexico,Urban,41,Male,Nunca,12,National Capital (Metropolitan area),4,4,4,3,5
1436,Mexico,Urban,75,Male,Nunca,6,Small City,3,3,2,4,1
1437,Mexico,Urban,19,Female,Nunca,9,Small City,4,4,4,4,4
1438,Mexico,Urban,49,Male,Nunca,9,Small City,4,4,4,4,5
1439,Mexico,Urban,63,Female,Nunca,2,Medium City,4,4,4,4,2
1440,Mexico,Urban,48,Male,Rara vez,9,National Capital (Metropolitan area),3,2,4,4,2
1441,Mexico,Urban,41,Female,Nunca,12,Small City,4,4,4,4,5
1442,Mexico,Rural,34,Male,Nunca,17,Rural Area,3,3,2,2,6
1443,Mexico,Urban,23,Female,Nunca,6,National Capital (Metropolitan area),4,4,4,4,7
1444,Mexico,Urban,24,Female,Nunca,16,National Capital (Metropolitan area),3,3,4,3,5
1445,Mexico,Rural,36,Female,Nunca,8,Rural Area,4,4,3,3,6
1446,Mexico,Urban,18,Male,Nunca,13,National Capital (Metropolitan area),3,3,4,4,6
1447,Mexico,Urban,76,Female,Nunca,1,Medium City,4,4,4,4,NA
1448,Mexico,Urban,23,Female,Nunca,12,Large City,4,4,4,4,6
1449,Mexico,Urban,29,Female,Nunca,17,National Capital (Metropolitan area),4,4,4,4,7
1450,Mexico,Urban,48,Female,Nunca,17,Small City,2,2,4,4,NA
1451,Mexico,Urban,52,Female,Nunca,18,Small City,3,3,2,3,8
1452,Mexico,Urban,40,Male,Frecuentemente,10,National Capital (Metropolitan area),4,4,4,4,3
1453,Mexico,Urban,18,Male,Nunca,6,Medium City,4,4,4,4,2
1454,Mexico,Urban,23,Male,Nunca,9,Medium City,4,4,4,4,4
1455,Mexico,Urban,33,Female,Rara vez,6,National Capital (Metropolitan area),4,4,4,4,2
1456,Mexico,Urban,33,Male,Nunca,9,National Capital (Metropolitan area),NA,4,4,4,5
1457,Mexico,Urban,27,Male,Nunca,12,Small City,4,4,4,4,5
1458,Mexico,Urban,25,Male,Nunca,9,Large City,3,4,4,4,2
1459,Mexico,Urban,54,Female,Nunca,9,Small City,3,3,4,4,8
1460,Mexico,Urban,59,Male,Nunca,17,Large City,3,3,1,4,8
1461,Mexico,Urban,51,Male,Frecuentemente,18,Large City,3,3,2,4,NA
1462,Mexico,Urban,36,Male,Nunca,6,Large City,4,3,4,4,5
1463,Mexico,Urban,28,Female,Nunca,9,Large City,4,4,4,4,4
1464,Mexico,Urban,42,Male,Nunca,9,Small City,4,4,4,4,5
1465,Mexico,Urban,30,Male,Rara vez,7,National Capital (Metropolitan area),4,4,4,4,4
1466,Mexico,Rural,39,Male,Nunca,9,Rural Area,2,2,4,4,5
1467,Mexico,Urban,49,Male,Nunca,14,Large City,4,4,4,4,7
1468,Mexico,Urban,27,Male,Nunca,9,Small City,4,4,3,4,1
1469,Mexico,Urban,18,Female,Nunca,12,National Capital (Metropolitan area),4,4,4,4,NA
1470,Mexico,Rural,69,Female,Nunca,3,Rural Area,4,4,4,4,1
1471,Mexico,Urban,74,Female,Nunca,3,National Capital (Metropolitan area),4,4,4,4,3
1472,Mexico,Urban,34,Female,Nunca,11,Large City,4,4,4,4,8
1473,Mexico,Rural,21,Male,Frecuentemente,12,Rural Area,3,4,4,4,NA
1474,Mexico,Urban,36,Male,Nunca,12,Large City,4,4,4,3,NA
1475,Mexico,Urban,49,Female,Nunca,0,National Capital (Metropolitan area),4,2,4,4,2
1476,Mexico,Rural,53,Male,Nunca,5,Large City,4,4,4,4,1
1477,Mexico,Urban,30,Male,Nunca,7,Small City,4,4,4,4,7
1478,Mexico,Urban,47,Male,Nunca,9,Large City,2,4,4,4,8
1479,Mexico,Rural,50,Female,Nunca,0,Rural Area,4,3,4,4,2
1480,Mexico,Urban,60,Female,Nunca,6,Large City,4,4,4,4,10
1481,Mexico,Urban,44,Female,Nunca,9,Large City,4,3,4,4,8
1482,Mexico,Rural,29,Male,Nunca,6,Large City,4,4,4,4,5
1483,Mexico,Urban,33,Female,Nunca,6,Small City,4,4,4,4,4
1484,Mexico,Rural,20,Female,Nunca,14,Large City,4,4,4,4,6
1485,Mexico,Urban,80,Female,Nunca,3,Medium City,4,4,4,4,3
1486,Mexico,Rural,56,Female,Nunca,8,Large City,3,3,4,4,10
1487,Mexico,Rural,28,Male,Frecuentemente,16,Rural Area,3,4,4,4,8
1488,Mexico,Rural,20,Female,Nunca,12,Rural Area,4,4,4,4,2
1489,Mexico,Urban,32,Male,Nunca,NA,Small City,3,1,4,4,3
1490,Mexico,Urban,67,Male,Nunca,0,Large City,4,4,4,4,3
1491,Mexico,Urban,31,Male,Nunca,17,National Capital (Metropolitan area),4,4,4,4,10
1492,Mexico,Urban,25,Female,Frecuentemente,12,Small City,3,4,4,4,2
1493,Mexico,Rural,20,Female,Nunca,12,Rural Area,4,4,4,4,7
1494,Mexico,Urban,18,Male,Nunca,12,Large City,4,4,4,4,2
1495,Mexico,Urban,29,Male,Frecuentemente,9,Medium City,3,4,4,4,6
1496,Mexico,Urban,23,Male,Nunca,11,Large City,4,4,4,4,9
1497,Mexico,Urban,68,Female,Nunca,1,Small City,3,4,4,4,3
1498,Mexico,Rural,21,Female,Nunca,5,Rural Area,4,4,4,4,5
1499,Mexico,Urban,31,Male,Nunca,9,Small City,4,4,4,4,8
1500,Mexico,Urban,46,Female,Frecuentemente,16,Large City,4,4,4,4,4
1501,Mexico,Urban,51,Female,Nunca,6,National Capital (Metropolitan area),3,4,4,4,4
1502,Mexico,Urban,58,Male,Nunca,9,Medium City,1,4,4,4,NA
1503,Mexico,Urban,81,Male,Nunca,0,National Capital (Metropolitan area),4,4,4,4,NA
1504,Mexico,Urban,53,Female,Nunca,16,Large City,3,3,4,4,10
1505,Mexico,Urban,33,Female,Frecuentemente,12,National Capital (Metropolitan area),3,4,4,2,3
1506,Mexico,Urban,45,Female,Nunca,5,Small City,4,4,4,4,5
1507,Mexico,Urban,33,Female,Nunca,6,National Capital (Metropolitan area),4,4,4,4,4
1508,Mexico,Urban,21,Female,Nunca,12,Small City,3,3,4,4,5
1509,Mexico,Urban,25,Male,Nunca,17,National Capital (Metropolitan area),4,4,3,4,3
1510,Mexico,Urban,49,Female,Nunca,6,National Capital (Metropolitan area),2,4,4,2,1
1511,Mexico,Urban,30,Male,Nunca,10,Medium City,4,4,4,4,7
1512,Mexico,Urban,58,Male,Nunca,6,Small City,4,4,4,4,6
1513,Mexico,Rural,29,Female,Nunca,12,Large City,4,3,4,4,6
1514,Mexico,Urban,59,Male,Nunca,6,Small City,4,4,4,4,3
1515,Mexico,Urban,37,Female,Nunca,7,Large City,4,4,3,4,9
1516,Mexico,Urban,41,Female,Rara vez,3,Small City,3,3,4,4,4
1517,Mexico,Urban,31,Female,Rara vez,9,Small City,3,3,4,4,NA
1518,Mexico,Rural,69,Male,Nunca,0,Rural Area,4,4,4,4,NA
1519,Mexico,Urban,34,Male,Nunca,15,National Capital (Metropolitan area),3,2,4,4,NA
1520,Mexico,Urban,50,Female,Nunca,12,Small City,4,4,1,2,9
1521,Mexico,Urban,33,Male,Nunca,9,National Capital (Metropolitan area),4,4,4,4,2
1522,Mexico,Urban,65,Female,Nunca,6,National Capital (Metropolitan area),4,1,4,4,NA
1523,Mexico,Urban,53,Female,Nunca,2,Small City,4,4,4,4,4
1524,Mexico,Urban,18,Male,Nunca,8,Large City,4,4,4,4,7
1525,Mexico,Urban,26,Male,Nunca,17,Large City,4,4,4,4,9
1526,Mexico,Urban,19,Female,Frecuentemente,9,Large City,4,4,4,4,6
1527,Mexico,Rural,49,Male,Nunca,5,Rural Area,3,3,3,3,2
1528,Mexico,Urban,43,Female,Nunca,12,Large City,4,4,4,4,3
1529,Mexico,Rural,45,Male,Nunca,8,Rural Area,4,4,4,4,5
1530,Mexico,Rural,66,Female,Nunca,0,Rural Area,4,4,4,4,0
1531,Mexico,Rural,58,Female,Nunca,3,Rural Area,2,4,4,2,4
1532,Mexico,Urban,22,Male,Nunca,12,Large City,4,4,4,4,2
1533,Mexico,Urban,27,Male,Nunca,9,National Capital (Metropolitan area),4,4,4,4,4
1534,Mexico,Urban,40,Male,Nunca,17,Large City,2,4,4,4,3
1535,Mexico,Urban,22,Male,Nunca,9,National Capital (Metropolitan area),4,4,4,4,8
1536,Mexico,Urban,33,Female,Nunca,6,National Capital (Metropolitan area),3,4,2,4,5
1537,Mexico,Urban,45,Female,Nunca,6,Small City,3,3,4,4,1
1538,Mexico,Rural,49,Male,Rara vez,3,Rural Area,3,2,3,3,2
1539,Mexico,Urban,37,Female,Nunca,8,Small City,4,4,4,4,2
1540,Mexico,Urban,36,Female,Nunca,9,Medium City,2,2,4,3,5
1541,Mexico,Urban,19,Male,Nunca,14,Small City,4,4,4,4,2
1542,Mexico,Urban,39,Male,Nunca,12,National Capital (Metropolitan area),4,4,4,4,8
1543,Mexico,Urban,55,Female,Nunca,11,Medium City,1,4,4,4,2
1544,Mexico,Urban,21,Male,Nunca,12,National Capital (Metropolitan area),4,4,4,3,10
1545,Mexico,Urban,45,Female,Nunca,2,Large City,4,4,4,4,NA
1546,Mexico,Urban,18,Male,Frecuentemente,8,National Capital (Metropolitan area),2,4,4,2,7
1547,Mexico,Urban,42,Female,Nunca,9,Large City,4,4,4,4,6
1548,Mexico,Urban,36,Male,Nunca,13,National Capital (Metropolitan area),3,3,4,4,4
1549,Mexico,Urban,77,Male,Nunca,6,Large City,4,4,4,4,2
1550,Mexico,Rural,75,Female,Nunca,0,Rural Area,4,4,4,3,NA
1551,Mexico,Urban,58,Female,Frecuentemente,5,Large City,4,4,4,4,5
1552,Mexico,Urban,54,Male,Nunca,2,Medium City,4,4,NA,4,4
1553,Mexico,Urban,19,Male,Nunca,9,Large City,4,4,4,4,9
1554,Mexico,Urban,71,Male,Nunca,8,National Capital (Metropolitan area),4,3,3,3,NA
1555,Mexico,Urban,51,Female,Nunca,6,Small City,3,4,4,4,NA
1556,Mexico,Urban,45,Female,Rara vez,6,Small City,4,4,4,4,NA
1557,Mexico,Urban,30,Male,Nunca,18,National Capital (Metropolitan area),4,4,4,4,NA
1558,Mexico,Urban,38,Female,Frecuentemente,9,Large City,3,3,4,4,5
1559,Mexico,Urban,37,Male,Nunca,9,Small City,4,4,4,4,2
1560,Mexico,Urban,30,Female,Nunca,9,Small City,4,4,4,4,6
1561,Mexico,Urban,22,Female,Nunca,12,Small City,4,4,4,4,4
1562,Mexico,Rural,31,Male,Nunca,11,Rural Area,4,4,4,4,5
1563,Guatemala,Urban,24,Male,Frecuentemente,12,Medium City,3,2,3,4,NA
1564,Guatemala,Rural,36,Female,Nunca,4,Rural Area,4,4,4,4,1
1565,Guatemala,Rural,40,Male,Nunca,3,Rural Area,4,4,4,4,NA
1566,Guatemala,Urban,39,Male,Nunca,9,National Capital (Metropolitan area),4,4,4,4,4
1567,Guatemala,Urban,21,Female,Nunca,6,National Capital (Metropolitan area),4,4,4,4,2
1568,Guatemala,Rural,19,Male,Nunca,4,Rural Area,1,2,4,1,1
1569,Guatemala,Rural,51,Female,Nunca,0,Rural Area,3,2,2,4,0
1570,Guatemala,Rural,22,Female,Nunca,4,Rural Area,4,4,4,4,0
1571,Guatemala,Urban,27,Male,Rara vez,4,National Capital (Metropolitan area),3,4,4,2,2
1572,Guatemala,Urban,21,Female,Nunca,12,Large City,4,1,2,4,4
1573,Guatemala,Rural,34,Male,Nunca,12,Rural Area,2,2,4,2,5
1574,Guatemala,Rural,30,Male,Rara vez,0,Rural Area,3,4,4,4,0
1575,Guatemala,Urban,33,Female,Nunca,12,National Capital (Metropolitan area),4,4,4,4,9
1576,Guatemala,Urban,18,Female,Nunca,6,Medium City,2,4,4,3,2
1577,Guatemala,Urban,33,Male,Nunca,12,National Capital (Metropolitan area),3,4,4,4,3
1578,Guatemala,Urban,56,Female,Nunca,12,Large City,4,4,4,4,4
1579,Guatemala,Urban,34,Male,Nunca,15,Medium City,3,3,3,4,4
1580,Guatemala,Rural,28,Female,Rara vez,9,Rural Area,4,4,4,4,3
1581,Guatemala,Rural,35,Female,Nunca,0,Rural Area,4,4,4,4,1
1582,Guatemala,Rural,18,Female,Nunca,6,Rural Area,4,4,4,4,0
1583,Guatemala,Urban,24,Male,Rara vez,6,National Capital (Metropolitan area),2,4,4,4,4
1584,Guatemala,Rural,18,Female,Nunca,3,Rural Area,4,1,4,4,0
1585,Guatemala,Urban,29,Female,Nunca,10,Large City,4,4,4,4,3
1586,Guatemala,Rural,18,Male,Nunca,3,Rural Area,3,2,4,4,1
1587,Guatemala,Urban,39,Female,Nunca,12,Medium City,4,2,4,4,5
1588,Guatemala,Rural,46,Male,Nunca,0,Rural Area,NA,3,4,3,1
1589,Guatemala,Rural,30,Male,Nunca,3,Rural Area,2,2,4,4,1
1590,Guatemala,Urban,27,Male,Nunca,9,Medium City,4,3,4,4,NA
1591,Guatemala,Rural,33,Female,Nunca,6,Rural Area,3,3,4,4,2
1592,Guatemala,Rural,43,Female,Nunca,12,Rural Area,4,3,4,4,3
1593,Guatemala,Rural,53,Male,Nunca,1,Rural Area,4,1,4,4,1
1594,Guatemala,Urban,28,Male,Nunca,6,Medium City,2,2,2,4,1
1595,Guatemala,Urban,31,Female,Nunca,11,Large City,4,3,4,4,5
1596,Guatemala,Urban,37,Male,Nunca,9,Large City,4,4,4,4,4
1597,Guatemala,Rural,31,Female,Nunca,0,Rural Area,2,4,4,4,1
1598,Guatemala,Rural,28,Female,Nunca,3,Rural Area,1,4,4,4,0
1599,Guatemala,Rural,27,Female,Nunca,0,Rural Area,4,2,4,4,1
1600,Guatemala,Rural,37,Male,Nunca,10,Rural Area,4,4,4,4,2
1601,Guatemala,Urban,27,Male,Nunca,9,Medium City,4,4,4,4,1
1602,Guatemala,Urban,23,Female,Nunca,4,Large City,NA,4,4,4,1
1603,Guatemala,Urban,35,Female,Nunca,11,National Capital (Metropolitan area),3,3,4,4,4
1604,Guatemala,Urban,30,Male,Rara vez,7,Large City,3,3,3,4,2
1605,Guatemala,Rural,69,Female,Nunca,0,Rural Area,3,4,4,4,1
1606,Guatemala,Urban,20,Female,Nunca,14,National Capital (Metropolitan area),3,3,4,4,0
1607,Guatemala,Urban,59,Female,Nunca,9,National Capital (Metropolitan area),3,4,4,4,8
1608,Guatemala,Urban,40,Female,Nunca,6,Medium City,4,4,4,4,1
1609,Guatemala,Rural,20,Female,Nunca,12,Rural Area,2,4,4,4,4
1610,Guatemala,Rural,22,Female,Nunca,8,Rural Area,2,4,4,4,NA
1611,Guatemala,Rural,24,Male,Nunca,12,Rural Area,4,2,2,4,6
1612,Guatemala,Urban,59,Female,Nunca,9,National Capital (Metropolitan area),4,4,4,4,5
1613,Guatemala,Urban,23,Male,Nunca,6,Large City,4,4,4,4,0
1614,Guatemala,Rural,19,Female,Nunca,3,Rural Area,4,4,4,4,1
1615,Guatemala,Rural,27,Female,Nunca,0,Rural Area,1,4,4,4,0
1616,Guatemala,Urban,30,Female,Nunca,7,Large City,3,2,4,4,3
1617,Guatemala,Rural,33,Female,Nunca,9,Rural Area,2,2,2,4,7
1618,Guatemala,Rural,44,Female,Rara vez,0,Rural Area,4,4,4,4,1
1619,Guatemala,Rural,26,Male,Nunca,12,Rural Area,4,3,4,4,2
1620,Guatemala,Rural,NA,Female,Frecuentemente,0,Rural Area,3,3,3,4,3
1621,Guatemala,Rural,27,Male,Nunca,6,Rural Area,3,2,4,4,0
1622,Guatemala,Rural,NA,Female,No Response,NA,Rural Area,NA,NA,NA,NA,NA
1623,Guatemala,Urban,24,Female,Rara vez,9,Medium City,2,3,4,4,1
1624,Guatemala,Rural,18,Male,Nunca,12,Rural Area,3,4,3,4,NA
1625,Guatemala,Urban,40,Male,Nunca,17,National Capital (Metropolitan area),3,3,4,4,NA
1626,Guatemala,Rural,34,Male,Nunca,4,Rural Area,4,4,4,4,0
1627,Guatemala,Rural,53,Male,Nunca,12,Rural Area,4,4,4,4,3
1628,Guatemala,Rural,34,Male,Nunca,4,Rural Area,4,2,4,4,1
1629,Guatemala,Rural,20,Male,Nunca,8,Rural Area,4,4,4,4,4
1630,Guatemala,Rural,28,Male,Frecuentemente,12,Rural Area,2,1,4,4,5
1631,Guatemala,Rural,19,Male,Nunca,2,Rural Area,4,4,4,4,0
1632,Guatemala,Urban,39,Male,Nunca,12,National Capital (Metropolitan area),4,4,4,4,6
1633,Guatemala,Rural,55,Male,Nunca,2,Rural Area,4,3,3,3,1
1634,Guatemala,Rural,51,Female,Don't Know,4,Rural Area,1,4,4,3,1
1635,Guatemala,Rural,19,Female,Nunca,6,Rural Area,4,3,4,4,1
1636,Guatemala,Urban,61,Male,Nunca,3,Large City,4,4,4,4,4
1637,Guatemala,Rural,27,Male,Nunca,4,Rural Area,4,4,4,4,2
1638,Guatemala,Urban,25,Male,Nunca,12,Large City,3,3,2,3,NA
1639,Guatemala,Urban,36,Male,Nunca,11,Large City,4,4,4,4,7
1640,Guatemala,Rural,30,Male,Nunca,0,Rural Area,4,3,4,4,1
1641,Guatemala,Rural,24,Female,Nunca,NA,Rural Area,4,4,4,4,NA
1642,Guatemala,Urban,57,Female,Nunca,3,Medium City,4,4,4,4,6
1643,Guatemala,Urban,18,Male,Nunca,10,Medium City,4,4,4,3,5
1644,Guatemala,Urban,73,Female,Nunca,12,National Capital (Metropolitan area),4,3,4,4,3
1645,Guatemala,Urban,64,Male,Nunca,2,Medium City,3,3,4,4,2
1646,Guatemala,Urban,63,Male,Nunca,11,Medium City,3,2,4,4,2
1647,Guatemala,Urban,57,Male,Nunca,2,Large City,3,2,4,4,NA
1648,Guatemala,Rural,38,Male,Nunca,4,Rural Area,2,1,4,4,1
1649,Guatemala,Rural,22,Female,Nunca,12,Rural Area,2,4,4,4,1
1650,Guatemala,Urban,27,Female,Rara vez,12,Medium City,3,4,4,4,3
1651,Guatemala,Urban,37,Female,Nunca,12,Medium City,4,4,4,4,1
1652,Guatemala,Urban,47,Male,Nunca,12,Medium City,2,4,3,4,2
1653,Guatemala,Rural,18,Male,Nunca,9,Rural Area,4,NA,4,4,0
1654,Guatemala,Urban,52,Female,Nunca,6,Large City,4,4,4,4,1
1655,Guatemala,Urban,20,Male,Nunca,12,Large City,3,3,4,2,5
1656,Guatemala,Urban,38,Female,Nunca,9,National Capital (Metropolitan area),4,4,4,4,4
1657,Guatemala,Rural,84,Female,Rara vez,0,Rural Area,2,2,4,4,1
1658,Guatemala,Urban,32,Male,Nunca,11,Medium City,3,2,2,4,6
1659,Guatemala,Urban,NA,Male,No Response,NA,Large City,2,1,3,4,NA
1660,Guatemala,Urban,29,Male,Nunca,4,Medium City,1,1,3,3,3
1661,Guatemala,Rural,21,Male,Nunca,3,Rural Area,4,4,4,4,1
1662,Guatemala,Rural,30,Male,Nunca,0,Rural Area,2,2,4,4,1
1663,Guatemala,Rural,42,Male,Nunca,2,Rural Area,4,2,4,4,1
1664,Guatemala,Rural,58,Male,Nunca,12,Rural Area,4,4,4,4,4
1665,Guatemala,Urban,62,Female,Nunca,12,National Capital (Metropolitan area),4,4,4,4,3
1666,Guatemala,Rural,52,Female,No Response,2,Rural Area,4,2,4,4,0
1667,Guatemala,Rural,60,Male,Nunca,3,Rural Area,4,4,4,4,1
1668,Guatemala,Urban,22,Female,Nunca,12,National Capital (Metropolitan area),4,4,4,3,3
1669,Guatemala,Rural,56,Female,Nunca,0,Rural Area,4,4,4,4,1
1670,Guatemala,Rural,35,Male,Nunca,6,Rural Area,4,4,4,4,1
1671,Guatemala,Urban,22,Female,Nunca,15,Medium City,4,4,4,4,9
1672,Guatemala,Urban,26,Female,Nunca,6,Large City,4,4,4,4,1
1673,Guatemala,Urban,54,Female,Nunca,1,Medium City,4,4,4,4,1
1674,Guatemala,Rural,39,Male,Nunca,3,Rural Area,3,4,4,4,1
1675,Guatemala,Urban,28,Male,Nunca,15,National Capital (Metropolitan area),3,3,4,4,8
1676,Guatemala,Rural,26,Female,Rara vez,3,Rural Area,4,4,4,4,2
1677,Guatemala,Urban,56,Female,Nunca,4,Medium City,4,4,4,4,4
1678,Guatemala,Rural,28,Female,Rara vez,9,Rural Area,4,4,4,4,3
1679,Guatemala,Rural,57,Male,Nunca,4,Rural Area,3,1,4,3,1
1680,Guatemala,Urban,33,Male,Rara vez,17,National Capital (Metropolitan area),4,4,4,4,6
1681,Guatemala,Urban,38,Male,Nunca,9,Large City,4,4,NA,4,7
1682,Guatemala,Rural,21,Female,Nunca,11,Rural Area,1,1,4,4,5
1683,Guatemala,Rural,54,Male,Rara vez,0,Rural Area,2,2,2,4,1
1684,Guatemala,Urban,23,Female,Nunca,12,Large City,3,4,4,3,4
1685,Guatemala,Urban,29,Female,Nunca,18,Large City,4,4,4,4,2
1686,Guatemala,Urban,34,Male,Nunca,0,Medium City,4,4,4,2,1
1687,Guatemala,Urban,42,Male,Rara vez,13,Medium City,2,1,1,4,10
1688,Guatemala,Rural,40,Male,Nunca,5,Rural Area,4,4,4,4,3
1689,Guatemala,Rural,34,Female,Rara vez,12,Rural Area,4,3,3,4,1
