ur,q2,q1,b12,b21,ing4,vb3n,braantip1,ed,q3cn,q10new,gi0n,d6,capital1,municipio,problem_corruption,problem_unemployment,problem_crime
Urbano,49,Mujer,2,1,7,Fernando Haddad (PT),10,11,Evangélica y Pentecostal,8,Diariamente,1,En contra,SALVADOR,no,no,no
Urbano,27,Mujer,6,1,7,Jair Bolsonaro (PSL),1,11,Evangélica y Pentecostal,3,Diariamente,1,A Favor,SATUBA,yes,no,no
Urbano,65,Mujer,7,1,1,Jair Bolsonaro (PSL),1,11,Católico,11,Diariamente,1,En contra,PARNAMIRIM,no,no,no
Urbano,42,Mujer,7,2,5,No sabe,1,4,Evangélica y Pentecostal,3,Algunas veces a la semana,10,A Favor,CONDE,no,yes,no
Urbano,32,Hombre,3,1,5,Fernando Haddad (PT),8,11,Católico,3,Diariamente,1,A Favor,SÃO MIGUEL DE TAIPU,no,no,no
Urbano,88,Hombre,7,1,6,No Aplica,2,6,Católico,5,Diariamente,9,En contra,NATAL,no,no,no
Rural,77,Hombre,7,1,7,No Aplica,1,3,Católico,5,Diariamente,1,A Favor,PETROLINA,no,no,no
Urbano,18,Mujer,7,1,3,Fernando Haddad (PT),10,9,Ninguna (Cree en un Ser Superior pero no pertenece a ninguna religión),6,Diariamente,10,A Favor,VERA CRUZ,yes,no,no
Urbano,38,Mujer,7,3,7,Fernando Haddad (PT),8,11,Católico,1,Diariamente,10,En contra,FORTALEZA,no,no,no
Urbano,66,Hombre,5,1,1,Jair Bolsonaro (PSL),1,5,"Protestante, Protestante Tradicional o Protestante no Evangélico",6,Diariamente,1,En contra,FORTALEZA,no,no,no
Urbano,25,Mujer,NA,2,NA,Ciro Gomes (PDT),10,11,Católico,9,Diariamente,1,En contra,SÃO LUÍS,no,no,no
Urbano,49,Hombre,3,1,3,Fernando Haddad (PT),1,8,Católico,4,Diariamente,3,En contra,LARANJEIRAS,no,no,no
Urbano,44,Hombre,1,1,5,No responde,1,11,Otro,0,Algunas veces a la semana,1,A Favor,LARANJEIRAS,no,no,no
Urbano,60,Hombre,1,1,5,Otro,2,1,Católico,8,Algunas veces a la semana,5,A Favor,CARUARU,no,no,no
Urbano,23,Mujer,5,4,7,Fernando Haddad (PT),5,11,Católico,11,Diariamente,4,A Favor,BARREIRA,no,no,no
Urbano,43,Hombre,7,2,5,No Aplica,10,8,"Protestante, Protestante Tradicional o Protestante no Evangélico",3,Algunas veces a la semana,1,En contra,JABOATÃO DOS GUARARAPES,no,no,no
Urbano,28,Mujer,6,2,4,Jair Bolsonaro (PSL),2,11,Católico,4,Diariamente,1,A Favor,FORTALEZA,no,no,no
Urbano,27,Mujer,7,2,7,Fernando Haddad (PT),10,11,Evangélica y Pentecostal,5,Diariamente,1,A Favor,RECIFE,no,no,no
Rural,38,Mujer,1,1,2,Fernando Haddad (PT),1,8,Católico,0,Algunas veces a la semana,10,A Favor,VITÓRIA DO MEARIM,no,no,no
Urbano,20,Hombre,5,1,4,No Aplica,2,10,"Protestante, Protestante Tradicional o Protestante no Evangélico",0,Algunas veces a la semana,9,A Favor,SANTO AMARO DAS BROTAS,no,yes,no
Urbano,38,Hombre,7,1,7,Jair Bolsonaro (PSL),1,11,"Protestante, Protestante Tradicional o Protestante no Evangélico",3,Diariamente,1,A Favor,SÃO LUÍS,yes,no,no
Urbano,19,Mujer,NA,2,4,João Amoêdo (NOVO),8,11,"Protestante, Protestante Tradicional o Protestante no Evangélico",8,Diariamente,2,En contra,SÃO LUÍS,no,no,no
Urbano,53,Hombre,7,1,6,Fernando Haddad (PT),7,8,Católico,15,Algunas veces a la semana,8,A Favor,SÃO LUÍS,yes,no,no
Rural,42,Mujer,2,1,5,Fernando Haddad (PT),7,4,Católico,1,Diariamente,7,En contra,PACUJÁ,no,no,no
Urbano,64,Mujer,NA,1,3,Fernando Haddad (PT),4,11,Católico,13,Diariamente,6,No sabe,SÃO LUÍS,no,no,no
Rural,29,Hombre,7,1,4,Jair Bolsonaro (PSL),5,8,"Protestante, Protestante Tradicional o Protestante no Evangélico",7,Diariamente,1,En contra,ALHANDRA,no,no,no
Urbano,34,Hombre,4,1,4,No Aplica,1,17,Católico,5,Diariamente,10,A Favor,SÃO LUÍS,no,no,no
Urbano,21,Hombre,5,3,4,Ninguno (fue a votar pero dejó la boleta en blanco),3,11,Católico,NA,Algunas veces a la semana,9,En contra,SATUBA,no,no,no
Urbano,44,Mujer,5,1,5,Jair Bolsonaro (PSL),8,11,Católico,15,Diariamente,3,En contra,SÃO LUÍS,no,no,no
Urbano,68,Hombre,6,2,2,Jair Bolsonaro (PSL),1,NA,Católico,1,Diariamente,1,A Favor,CARUARU,no,no,no
Urbano,28,Hombre,6,2,4,Ciro Gomes (PDT),3,11,"Protestante, Protestante Tradicional o Protestante no Evangélico",5,Diariamente,10,A Favor,NATAL,no,no,no
Urbano,37,Mujer,2,6,5,Otro,1,11,Evangélica y Pentecostal,7,Algunas veces al mes,1,En contra,CARUARU,NA,NA,NA
Urbano,18,Hombre,1,3,1,Fernando Haddad (PT),10,10,"Protestante, Protestante Tradicional o Protestante no Evangélico",13,Algunas veces a la semana,7,En contra,SÃO LUÍS,no,yes,no
Urbano,44,Hombre,7,4,4,Jair Bolsonaro (PSL),2,4,Católico,5,Diariamente,9,A Favor,FORTALEZA,no,no,no
Rural,40,Hombre,4,1,6,No sabe,2,7,Católico,3,Diariamente,4,A Favor,SANTA MARIA DA BOA VISTA,no,no,no
Rural,29,Mujer,6,6,2,Fernando Haddad (PT),6,11,"Protestante, Protestante Tradicional o Protestante no Evangélico",1,Algunas veces a la semana,1,En contra,RIACHÃO DO JACUÍPE,no,no,no
Rural,37,Mujer,3,1,NA,Cabo Daciolo (PATRI),2,7,"Protestante, Protestante Tradicional o Protestante no Evangélico",2,Diariamente,1,En contra,SANTA MARIA DA BOA VISTA,no,no,no
Urbano,37,Hombre,5,1,7,Jair Bolsonaro (PSL),1,11,Religiones Orientales no Cristianas,15,Algunas veces a la semana,10,A Favor,VERA CRUZ,no,no,no
Urbano,33,Hombre,5,1,5,Fernando Haddad (PT),10,6,"Protestante, Protestante Tradicional o Protestante no Evangélico",8,Diariamente,1,A Favor,VERA CRUZ,no,no,no
Rural,44,Mujer,4,1,4,Fernando Haddad (PT),10,5,Católico,1,Diariamente,10,A Favor,RIACHÃO DO JACUÍPE,no,no,no
Urbano,30,Hombre,5,4,3,No sabe,9,7,Católico,4,Diariamente,8,En contra,CONDE,no,no,no
Urbano,27,Hombre,7,4,7,Jair Bolsonaro (PSL),1,9,Católico,10,Algunas veces a la semana,10,En contra,JOÃO PESSOA,no,no,no
Urbano,60,Hombre,7,1,7,Jair Bolsonaro (PSL),2,11,Evangélica y Pentecostal,10,Diariamente,1,En contra,NATAL,no,no,no
Rural,47,Mujer,7,1,NA,Fernando Haddad (PT),NA,4,Católico,6,Algunas veces al mes,10,A Favor,PETROLINA,no,no,no
Rural,28,Mujer,5,2,2,No Aplica,7,11,Católico,NA,No responde,8,A Favor,PETROLINA,no,no,no
Rural,54,Mujer,7,7,4,Otro,1,3,Católico,4,Diariamente,8,A Favor,ALHANDRA,no,no,no
Urbano,51,Hombre,7,2,6,Fernando Haddad (PT),9,10,Católico,8,Algunas veces a la semana,8,A Favor,SALVADOR,no,yes,no
Urbano,23,Hombre,5,3,6,Fernando Haddad (PT),1,9,Católico,9,Diariamente,10,En contra,SÃO MIGUEL DE TAIPU,yes,no,no
Urbano,16,Hombre,4,2,6,No Aplica,1,9,Católico,4,Algunas veces a la semana,6,En contra,NATAL,yes,no,no
Urbano,24,Mujer,6,2,6,No responde,8,11,Otro,4,Diariamente,1,A Favor,IMPERATRIZ,no,no,no
Urbano,18,Hombre,5,2,7,Jair Bolsonaro (PSL),7,13,Ninguna (Cree en un Ser Superior pero no pertenece a ninguna religión),1,Diariamente,7,En contra,JOÃO PESSOA,yes,no,no
Urbano,61,Mujer,1,1,7,Fernando Haddad (PT),10,11,"Protestante, Protestante Tradicional o Protestante no Evangélico",10,Diariamente,1,En contra,JOÃO PESSOA,no,no,no
Rural,71,Mujer,7,3,3,No Aplica,10,2,Católico,9,Algunas veces a la semana,2,No responde,VITÓRIA DO MEARIM,no,no,no
Rural,49,Hombre,7,1,7,Fernando Haddad (PT),10,1,Católico,1,Diariamente,1,A Favor,SANTA MARIA DA BOA VISTA,no,no,no
Urbano,17,Hombre,7,5,3,No Aplica,10,8,Católico,3,Algunas veces a la semana,10,En contra,PARNAMIRIM,no,no,no
Rural,36,Hombre,7,1,7,Fernando Haddad (PT),1,11,Católico,9,Diariamente,10,A Favor,VITÓRIA DO MEARIM,no,no,no
Urbano,58,Mujer,7,2,3,No sabe,8,5,Católico,4,Algunas veces a la semana,3,A Favor,NATAL,no,no,no
Urbano,24,Hombre,7,6,5,Jair Bolsonaro (PSL),4,3,Católico,10,Algunas veces a la semana,8,En contra,LARANJEIRAS,no,yes,no
Urbano,44,Mujer,7,1,1,Jair Bolsonaro (PSL),1,5,Católico,4,Diariamente,1,A Favor,PARNAMIRIM,no,yes,no
Urbano,67,Mujer,2,4,4,No sabe,8,1,Católico,NA,Algunas veces a la semana,5,En contra,ITABAIANA,no,no,no
Urbano,29,Hombre,5,1,6,No Aplica,5,5,Evangélica y Pentecostal,7,Diariamente,1,En contra,IMPERATRIZ,no,no,no
Urbano,30,Hombre,6,1,5,No Aplica,6,11,Católico,9,Diariamente,8,A Favor,PARNAMIRIM,no,no,no
Urbano,20,Hombre,5,4,4,Ciro Gomes (PDT),6,11,Ninguna (Cree en un Ser Superior pero no pertenece a ninguna religión),9,Algunas veces a la semana,10,A Favor,SALVADOR,no,no,no
Rural,30,Mujer,2,7,4,No sabe,1,4,No sabe,2,Nunca,1,En contra,ALHANDRA,no,no,no
Urbano,58,Hombre,5,3,6,Fernando Haddad (PT),8,8,Religiones Tradicionales,16,Diariamente,10,En contra,JABOATÃO DOS GUARARAPES,no,no,no
Rural,73,Hombre,5,1,1,No Aplica,1,0,Católico,4,Nunca,1,A Favor,ALHANDRA,no,yes,no
Urbano,36,Mujer,2,1,2,Ninguno (anuló su voto),NA,17,"Protestante, Protestante Tradicional o Protestante no Evangélico",15,Algunas veces a la semana,1,En contra,NATAL,yes,no,no
Urbano,44,Hombre,7,2,7,Jair Bolsonaro (PSL),1,11,Católico,4,Diariamente,10,A Favor,NATAL,no,no,no
Urbano,65,Hombre,7,1,5,No Aplica,10,0,Católico,10,Diariamente,1,A Favor,SÃO MIGUEL DE TAIPU,no,no,no
Rural,27,Hombre,5,4,4,Fernando Haddad (PT),10,4,Católico,2,Algunas veces a la semana,3,En contra,PETROLINA,no,no,no
Urbano,49,Mujer,6,3,5,Ninguno (fue a votar pero dejó la boleta en blanco),4,8,Evangélica y Pentecostal,2,Diariamente,4,En contra,MARACANAÚ,no,no,no
Rural,30,Mujer,3,7,2,Jair Bolsonaro (PSL),5,8,Católico,2,Diariamente,10,En contra,RIACHÃO DO JACUÍPE,no,yes,no
Urbano,33,Hombre,7,3,6,No Aplica,8,10,Evangélica y Pentecostal,0,Diariamente,5,En contra,FORTALEZA,no,no,no
Urbano,37,Mujer,7,7,7,No sabe,8,8,Católico,3,Diariamente,9,En contra,PARNAMIRIM,no,no,no
Rural,46,Hombre,7,7,7,No Aplica,10,5,Católico,3,Diariamente,1,En contra,RIACHÃO DO JACUÍPE,no,yes,no
Urbano,20,Hombre,4,2,7,Ninguno (anuló su voto),4,11,Católico,10,Algunas veces a la semana,10,A Favor,CARUARU,no,yes,no
Rural,28,Hombre,6,6,3,No Aplica,9,8,Evangélica y Pentecostal,4,Algunas veces al mes,4,A Favor,RIACHÃO DO JACUÍPE,no,yes,no
Urbano,28,Hombre,3,1,7,No Aplica,3,17,Otro,10,Diariamente,8,A Favor,SÃO LUÍS,no,no,no
Urbano,31,Hombre,3,2,3,Jair Bolsonaro (PSL),1,13,Ninguna (Cree en un Ser Superior pero no pertenece a ninguna religión),5,Diariamente,10,A Favor,SALVADOR,yes,no,no
Urbano,57,Hombre,7,4,6,No Aplica,10,6,Católico,0,Diariamente,6,No sabe,ITABAIANA,no,yes,no
Rural,49,Mujer,7,6,7,No Aplica,9,2,Católico,10,Diariamente,10,En contra,SANTA MARIA DA BOA VISTA,no,no,no
Urbano,45,Hombre,4,1,4,Jair Bolsonaro (PSL),1,11,Católico,8,Diariamente,5,A Favor,PARNAMIRIM,no,no,no
Urbano,33,Hombre,6,1,6,Otro,1,11,"Protestante, Protestante Tradicional o Protestante no Evangélico",15,Diariamente,1,En contra,SALVADOR,no,yes,no
Urbano,23,Mujer,1,1,3,Guilherme Boulos (PSOL),9,11,Ninguna (Cree en un Ser Superior pero no pertenece a ninguna religión),5,Diariamente,10,En contra,RECIFE,no,no,no
Urbano,20,Mujer,6,2,4,No responde,1,6,Evangélica y Pentecostal,10,Algunas veces a la semana,1,A Favor,FEIRA DE SANTANA,yes,no,no
Urbano,42,Mujer,7,1,NA,No sabe,10,4,Evangélica y Pentecostal,1,Diariamente,NA,En contra,JOÃO PESSOA,no,no,no
Urbano,17,Hombre,1,7,1,No Aplica,10,6,Evangélica y Pentecostal,1,Diariamente,1,A Favor,FEIRA DE SANTANA,no,no,yes
Urbano,34,Mujer,4,1,7,João Amoêdo (NOVO),2,17,Católico,11,Diariamente,10,En contra,JOÃO PESSOA,yes,no,no
Urbano,65,Mujer,1,1,7,No sabe,5,0,Católico,1,Diariamente,6,A Favor,LARANJEIRAS,no,no,no
Urbano,20,Mujer,7,3,7,Jair Bolsonaro (PSL),1,11,"Protestante, Protestante Tradicional o Protestante no Evangélico",8,Diariamente,4,A Favor,SATUBA,no,no,no
Urbano,35,Hombre,4,2,5,Fernando Haddad (PT),10,11,Católico,12,Diariamente,1,A Favor,CONDE,yes,no,no
Urbano,43,Hombre,7,1,4,Jair Bolsonaro (PSL),4,9,Católico,3,Diariamente,2,A Favor,LARANJEIRAS,no,yes,no
Rural,45,Mujer,7,7,7,No Aplica,10,6,Católico,0,Nunca,10,En contra,VITÓRIA DO MEARIM,NA,NA,NA
Rural,60,Hombre,2,6,3,No sabe,3,1,Católico,0,Diariamente,1,A Favor,PACUJÁ,no,yes,no
Urbano,50,Hombre,5,6,7,No sabe,10,1,Evangélica y Pentecostal,5,Diariamente,10,A Favor,CONDE,no,yes,no
Rural,16,Hombre,3,5,4,No Aplica,8,6,No sabe,16,Algunas veces a la semana,10,A Favor,VITÓRIA DO MEARIM,NA,NA,NA
Rural,37,Mujer,5,1,5,No sabe,1,4,Católico,1,Diariamente,1,En contra,PACUJÁ,yes,no,no
Urbano,38,Hombre,7,4,4,Fernando Haddad (PT),5,5,Otro,4,Diariamente,10,En contra,ITABAIANA,no,yes,no
Urbano,21,Mujer,5,1,6,No Aplica,1,11,Católico,3,Diariamente,10,A Favor,SALVADOR,no,no,no
Urbano,18,Hombre,4,1,3,No Aplica,1,11,Ninguna (Cree en un Ser Superior pero no pertenece a ninguna religión),13,Diariamente,5,A Favor,SALVADOR,no,no,no
Rural,17,Hombre,7,5,6,No Aplica,10,11,Católico,1,Diariamente,8,A Favor,SANTA MARIA DA BOA VISTA,no,yes,no
Urbano,38,Hombre,7,3,4,Fernando Haddad (PT),3,8,Católico,3,Diariamente,3,A Favor,IMPERATRIZ,no,no,no
Rural,19,Mujer,5,1,4,Fernando Haddad (PT),9,11,Católico,3,Diariamente,10,En contra,RIACHÃO DO JACUÍPE,no,no,no
Urbano,61,Mujer,6,4,7,Jair Bolsonaro (PSL),3,11,Evangélica y Pentecostal,10,Diariamente,4,En contra,SÃO MIGUEL DE TAIPU,no,no,no
Urbano,38,Mujer,7,1,1,Fernando Haddad (PT),9,11,Espírita Kardecista,7,Diariamente,10,A Favor,RECIFE,no,no,no
Urbano,53,Mujer,7,5,4,No sabe,7,3,Católico,4,Algunas veces a la semana,1,En contra,BARREIRA,no,no,no
Urbano,63,Mujer,7,1,5,Jair Bolsonaro (PSL),3,4,Católico,4,Diariamente,6,En contra,JOÃO PESSOA,no,no,no
Rural,51,Hombre,7,1,7,No Aplica,1,1,Evangélica y Pentecostal,3,Diariamente,1,A Favor,ALHANDRA,no,no,no
Urbano,18,Mujer,5,4,1,No Aplica,9,11,Católico,3,Diariamente,8,A Favor,MARACANAÚ,no,yes,no
Urbano,56,Mujer,7,4,4,Jair Bolsonaro (PSL),4,5,Evangélica y Pentecostal,NA,Algunas veces a la semana,7,En contra,RECIFE,no,yes,no
Urbano,49,Hombre,4,4,7,No Aplica,7,2,Católico,1,Diariamente,8,En contra,SÃO MIGUEL DE TAIPU,no,no,no
Urbano,40,Mujer,7,1,1,Fernando Haddad (PT),10,5,Católico,3,Diariamente,1,A Favor,ITABAIANA,no,no,no
Urbano,32,Hombre,5,1,5,Fernando Haddad (PT),10,9,Evangélica y Pentecostal,3,Algunas veces a la semana,1,A Favor,SANTO AMARO DAS BROTAS,no,yes,no
Urbano,34,Mujer,7,2,6,Ninguno (fue a votar pero dejó la boleta en blanco),7,6,Otro,3,Diariamente,1,A Favor,MARACANAÚ,no,no,no
Urbano,52,Hombre,5,4,5,Fernando Haddad (PT),10,13,Otro,4,Diariamente,10,En contra,LARANJEIRAS,no,yes,no
Urbano,30,Hombre,7,5,6,Ninguno (anuló su voto),10,5,Católico,1,Algunas veces a la semana,10,En contra,CARUARU,no,no,no
Urbano,19,Hombre,6,1,4,Jair Bolsonaro (PSL),1,11,Católico,3,Algunas veces a la semana,5,A Favor,PARNAMIRIM,no,yes,no
Urbano,62,Hombre,7,1,1,Fernando Haddad (PT),10,1,Católico,4,Diariamente,1,En contra,JOÃO PESSOA,yes,no,no
Rural,33,Hombre,5,2,5,No responde,6,8,Católico,0,Algunas veces a la semana,9,En contra,VITÓRIA DO MEARIM,no,no,no
Urbano,27,Hombre,3,4,7,Ciro Gomes (PDT),8,17,Religiones Tradicionales,4,Diariamente,10,En contra,JABOATÃO DOS GUARARAPES,no,no,no
Urbano,74,Mujer,7,1,7,Jair Bolsonaro (PSL),1,1,Católico,NA,Diariamente,1,En contra,NATAL,no,no,no
Urbano,17,Mujer,7,1,1,No Aplica,2,9,Católico,1,Nunca,4,En contra,SÃO MIGUEL DE TAIPU,no,no,no
Rural,22,Hombre,7,2,4,Jair Bolsonaro (PSL),1,15,Católico,14,Diariamente,1,A Favor,PETROLINA,no,no,no
Rural,60,Mujer,7,1,7,Jair Bolsonaro (PSL),10,2,Católico,4,Diariamente,1,En contra,SANTA MARIA DA BOA VISTA,no,no,no
Urbano,23,Hombre,5,1,6,Jair Bolsonaro (PSL),1,11,Agnóstico o ateo (no cree en Dios),0,Algunas veces al mes,10,En contra,FORTALEZA,no,no,no
Urbano,33,Hombre,3,2,7,Ciro Gomes (PDT),5,16,Ninguna (Cree en un Ser Superior pero no pertenece a ninguna religión),8,Diariamente,10,En contra,JOÃO PESSOA,no,no,no
Urbano,41,Hombre,7,3,7,Jair Bolsonaro (PSL),1,17,Católico,16,Diariamente,9,En contra,PARNAMIRIM,no,no,no
Urbano,48,Hombre,7,7,6,Jair Bolsonaro (PSL),2,4,Católico,10,Diariamente,1,A Favor,RECIFE,no,no,no
Urbano,25,Hombre,5,1,4,Ninguno (fue a votar pero dejó la boleta en blanco),7,9,Ninguna (Cree en un Ser Superior pero no pertenece a ninguna religión),3,Diariamente,8,En contra,JABOATÃO DOS GUARARAPES,no,no,no
Urbano,27,Mujer,7,1,5,No Aplica,2,7,Católico,6,Diariamente,10,A Favor,PARNAMIRIM,no,no,no
Urbano,27,Hombre,5,2,7,Ciro Gomes (PDT),4,15,Ninguna (Cree en un Ser Superior pero no pertenece a ninguna religión),10,Diariamente,10,En contra,SANTO AMARO DAS BROTAS,no,no,no
Urbano,24,Mujer,7,3,3,Jair Bolsonaro (PSL),9,11,Evangélica y Pentecostal,3,Algunas veces a la semana,1,En contra,FORTALEZA,no,no,no
Urbano,32,Mujer,7,1,7,No responde,1,10,Católico,NA,Nunca,10,En contra,SANTO AMARO DAS BROTAS,no,yes,no
Rural,39,Hombre,3,3,5,Fernando Haddad (PT),8,11,Católico,1,Diariamente,2,En contra,RIACHÃO DO JACUÍPE,no,yes,no
Rural,32,Mujer,6,5,6,Jair Bolsonaro (PSL),8,17,Católico,6,Algunas veces a la semana,10,En contra,PETROLINA,no,no,no
Urbano,54,Hombre,1,1,4,Fernando Haddad (PT),3,17,Católico,NA,Diariamente,10,A Favor,SALVADOR,no,no,no
Urbano,18,Mujer,5,1,5,No Aplica,3,9,Otro,3,Algunas veces a la semana,10,A Favor,ITABAIANA,no,no,no
Rural,35,Hombre,4,1,7,Fernando Haddad (PT),9,11,"Protestante, Protestante Tradicional o Protestante no Evangélico",1,Algunas veces a la semana,1,En contra,SANTA MARIA DA BOA VISTA,yes,no,no
Urbano,56,Hombre,7,2,2,Ninguno (fue a votar pero dejó la boleta en blanco),10,6,Ninguna (Cree en un Ser Superior pero no pertenece a ninguna religión),1,Diariamente,8,A Favor,FORTALEZA,no,no,no
Urbano,55,Mujer,6,1,7,Otro,9,17,Católico,16,Diariamente,10,En contra,JABOATÃO DOS GUARARAPES,no,no,no
Urbano,23,Mujer,5,1,5,No Aplica,6,8,"Protestante, Protestante Tradicional o Protestante no Evangélico",4,Diariamente,10,En contra,JABOATÃO DOS GUARARAPES,no,no,no
Urbano,23,Mujer,5,3,5,Fernando Haddad (PT),6,9,Ninguna (Cree en un Ser Superior pero no pertenece a ninguna religión),8,Nunca,10,A Favor,VERA CRUZ,no,no,no
Urbano,27,Mujer,7,4,3,No Aplica,5,11,"Protestante, Protestante Tradicional o Protestante no Evangélico",8,Diariamente,4,En contra,FORTALEZA,no,no,no
Urbano,58,Hombre,7,3,3,Jair Bolsonaro (PSL),8,8,Católico,9,Algunas veces a la semana,5,A Favor,JOÃO PESSOA,no,no,no
Urbano,68,Hombre,7,3,3,Ciro Gomes (PDT),1,1,Católico,NA,Diariamente,2,En contra,FORTALEZA,no,no,no
Urbano,31,Mujer,1,1,7,Fernando Haddad (PT),5,17,Católico,9,Diariamente,10,En contra,NATAL,no,no,no
Urbano,36,Hombre,5,1,5,Ninguno (fue a votar pero dejó la boleta en blanco),2,11,Católico,8,Diariamente,2,A Favor,BARREIRA,yes,no,no
Urbano,50,Mujer,5,1,7,No sabe,1,5,Católico,NA,Algunas veces a la semana,1,En contra,ITABAIANA,no,no,no
Urbano,48,Hombre,7,1,1,Fernando Haddad (PT),10,6,Católico,11,Algunas veces a la semana,1,A Favor,MARACANAÚ,no,no,no
Rural,47,Mujer,1,1,3,Fernando Haddad (PT),1,4,Católico,1,Diariamente,8,A Favor,PACUJÁ,no,no,no
Urbano,29,Hombre,1,1,7,Jair Bolsonaro (PSL),1,11,Evangélica y Pentecostal,2,Diariamente,1,A Favor,CARUARU,no,no,no
Urbano,39,Mujer,1,1,3,No Aplica,10,8,Ninguna (Cree en un Ser Superior pero no pertenece a ninguna religión),8,Diariamente,10,En contra,RECIFE,no,yes,no
Rural,53,Hombre,7,1,4,Fernando Haddad (PT),10,5,Evangélica y Pentecostal,10,Algunas veces a la semana,10,A Favor,PACUJÁ,no,no,no
Urbano,19,Mujer,1,1,2,Fernando Haddad (PT),9,9,Católico,0,Diariamente,6,A Favor,LARANJEIRAS,no,yes,no
Urbano,37,Hombre,5,2,6,Jair Bolsonaro (PSL),1,11,Católico,1,Diariamente,1,No sabe,MARACANAÚ,yes,no,no
Urbano,32,Hombre,5,2,6,Ciro Gomes (PDT),5,11,Católico,8,Diariamente,5,En contra,FEIRA DE SANTANA,no,yes,no
Rural,28,Mujer,7,1,7,Fernando Haddad (PT),8,8,Católico,0,Algunas veces a la semana,10,A Favor,VITÓRIA DO MEARIM,no,no,no
Urbano,20,Hombre,7,5,1,No sabe,3,6,Católico,1,Algunas veces a la semana,1,A Favor,CONDE,no,no,no
Urbano,35,Mujer,4,1,4,No responde,1,17,"Protestante, Protestante Tradicional o Protestante no Evangélico",1,Diariamente,1,A Favor,JABOATÃO DOS GUARARAPES,no,no,no
Urbano,44,Mujer,2,1,7,No Aplica,1,17,Ninguna (Cree en un Ser Superior pero no pertenece a ninguna religión),16,Diariamente,10,En contra,SALVADOR,no,yes,no
Rural,22,Mujer,1,6,3,Jair Bolsonaro (PSL),10,11,Católico,1,Diariamente,10,A Favor,SANTA MARIA DA BOA VISTA,no,no,no
Urbano,25,Hombre,5,1,2,No Aplica,6,7,Evangélica y Pentecostal,8,Diariamente,1,A Favor,FEIRA DE SANTANA,no,yes,no
Urbano,64,Mujer,7,1,4,No sabe,1,5,Evangélica y Pentecostal,10,Algunas veces a la semana,1,A Favor,JABOATÃO DOS GUARARAPES,no,no,no
Urbano,39,Mujer,1,1,2,Ninguno (anuló su voto),3,11,Católico,2,Diariamente,6,A Favor,BARREIRA,yes,no,no
Urbano,39,Mujer,7,6,6,Ninguno (fue a votar pero dejó la boleta en blanco),10,17,"Protestante, Protestante Tradicional o Protestante no Evangélico",4,Diariamente,2,A Favor,SÃO MIGUEL DE TAIPU,no,no,no
Urbano,33,Mujer,7,2,4,Jair Bolsonaro (PSL),1,8,Católico,4,Algunas veces a la semana,5,A Favor,FORTALEZA,no,no,no
Rural,33,Hombre,1,3,6,No sabe,10,0,Ninguna (Cree en un Ser Superior pero no pertenece a ninguna religión),0,Diariamente,1,A Favor,RIACHÃO DO JACUÍPE,no,no,no
Urbano,21,Mujer,6,1,4,Ninguno (fue a votar pero dejó la boleta en blanco),3,10,Católico,5,Diariamente,10,En contra,CARUARU,yes,no,no
Urbano,20,Hombre,1,1,6,No Aplica,1,7,"Protestante, Protestante Tradicional o Protestante no Evangélico",4,Nunca,1,En contra,SALVADOR,no,no,no
Urbano,26,Mujer,4,1,6,Ciro Gomes (PDT),3,17,Evangélica y Pentecostal,4,Diariamente,7,En contra,IMPERATRIZ,yes,no,no
Urbano,19,Mujer,1,1,2,No Aplica,1,8,"Protestante, Protestante Tradicional o Protestante no Evangélico",1,Algunas veces a la semana,7,En contra,FORTALEZA,NA,NA,NA
Rural,28,Mujer,5,3,5,Fernando Haddad (PT),6,5,"Protestante, Protestante Tradicional o Protestante no Evangélico",0,Diariamente,5,En contra,VITÓRIA DO MEARIM,no,no,no
Urbano,20,Hombre,7,1,5,No Aplica,10,10,Católico,4,Diariamente,1,En contra,IMPERATRIZ,no,no,no
Rural,54,Mujer,2,NA,4,Fernando Haddad (PT),10,1,Católico,NA,Diariamente,7,En contra,PACUJÁ,no,no,no
Urbano,42,Mujer,2,4,4,No sabe,7,11,Ninguna (Cree en un Ser Superior pero no pertenece a ninguna religión),12,Diariamente,9,En contra,SALVADOR,no,no,no
Urbano,23,Mujer,5,5,7,No responde,5,11,Católico,NA,Algunas veces a la semana,10,En contra,SANTO AMARO DAS BROTAS,no,no,no
Urbano,17,Hombre,3,4,7,Fernando Haddad (PT),10,11,"Protestante, Protestante Tradicional o Protestante no Evangélico",16,Diariamente,10,En contra,SATUBA,yes,no,no
Urbano,43,Hombre,5,1,6,Jair Bolsonaro (PSL),1,11,Católico,15,Diariamente,10,A Favor,BRASÍLIA,no,no,no
Urbano,26,Mujer,6,1,4,No Aplica,3,11,Católico,12,Diariamente,10,A Favor,APARECIDA DE GOIÂNIA,no,no,no
Urbano,67,Mujer,6,1,3,Fernando Haddad (PT),10,4,Católico,15,Diariamente,2,En contra,APARECIDA DE GOIÂNIA,no,no,no
Urbano,32,Mujer,7,1,6,Fernando Haddad (PT),6,7,Católico,11,Diariamente,10,A Favor,CAMPINORTE,no,yes,no
Urbano,40,Mujer,1,1,7,Ninguno (anuló su voto),5,5,Católico,7,Algunas veces al mes,10,A Favor,CAMPO ALEGRE DE GOIÁS,yes,no,no
